"","ID","linear.f0","linear.f0.se","linear.f0.p","linear.C0","linear.AIC","linear.AICc","linear.RSE","linear.r","linear.diagnostics"
"35","2021-03-17_GR01_B1",-0.646684581943267,0.160952003908799,7.27827567556385e-05,1.58444413910808,-3701.05766282611,-3700.9844920944,0.000912944431476674,-0.215957432517792,""
"36","2021-03-17_GR01_C1",-0.0885065031052718,0.122881767866161,0.471874835103964,1.56924552970987,-3889.76715690159,-3889.69420857332,0.000699302805431838,-0.0395579402006556,""
"37","2021-03-17_GR01_D1",0.811004138901233,0.109246293896551,9.72136606423685e-13,1.56324237470488,-3965.65637552407,-3965.5834271958,0.000623991078357924,0.377798882097777,""
"38","2021-03-17_GR01_E1",28.6302698014808,9.72365208207706,0.00347429121710038,1.55190642306123,-979.139214520747,-979.063265153658,0.0520742992027242,0.162907756229234,""
"39","2021-03-17_GR01_F1",6.40019776760982,0.302043937951023,3.51691332799632e-64,1.56993889177751,-3377.66147770184,-3377.59068124166,0.00174942925902775,0.753892925408636,""
"40","2021-03-17_GR01_R1",-5.73926047629022,0.303475362932378,1.84382189867745e-54,1.58750809255396,-3716.33100122541,-3716.25738159351,0.000862397319010339,-0.722236598702055,""
"41","2021-03-17_GR01_R2",-29.3709061441692,0.27219632804673,1.98997913145465e-259,1.57270845705383,-3776.57453015326,-3776.50135942156,0.000814801718292707,-0.98612286792363,""
"42","2021-03-17_GR01_R3",-38.8071177501571,8.21399573977684,3.48913680319047e-06,1.57829264691476,-1472.67294007823,-1472.59576966022,0.0232173899578108,-0.25800405557325,""
"43","2021-03-17_GR01_R4",5.94232907859244,5.07363142448269,0.247960516745726,1.56171805422363,-515.528564739436,-514.943198885777,0.000753358629005075,0.175826566853486,""
"44","2021-03-17_RA01_A1",0.814170487617936,0.223934103114287,0.000319655674009145,1.56832644512737,-3606.59722367238,-3606.52684244071,0.00129185036289513,0.192635681336939,""
"45","2021-03-17_RA01_B1",1.01474954191269,0.131988390006185,1.69498473646989e-13,1.55799195391011,-3862.64918827779,-3862.57668072492,0.000754053092206265,0.388257881910878,""
"46","2021-03-17_RA01_C1",1.35419472750293,0.106391008660745,1.28401844461154e-30,1.55409835027351,-4084.07092995752,-4083.99992404036,0.000613922514299875,0.56809151625973,""
"47","2021-03-17_RA01_D1",1.21839467345247,0.102311622108632,1.80992626923441e-27,1.55352253805537,-4030.35217552853,-4030.27944825581,0.000576590125835889,0.547089070843362,""
"48","2021-03-17_RA01_E1",4.40321103935424,2.2370456875378,0.049832129578592,1.54713980926347,-2025.11488494215,-2025.04491409667,0.0130010278363799,0.105380481860377,""
"49","2021-03-17_RA01_R1",-2.7312305018705,0.286935266628912,3.50878699420469e-19,1.5644445913206,-3723.62099148747,-3723.54934969643,0.000990901065773574,-0.460313156699706,""
"50","2021-03-17_RA01_R2",-92.0369212600151,14.2804382935818,3.92037222882582e-10,1.59230319666936,-1124.35607947296,-1124.28569824129,0.0471590774846046,-0.328663258407384,""
"51","2021-03-17_RA01_R3",-8.38830999479152,0.331330910630976,4.75068021040409e-80,1.55635796525766,-3778.89716590876,-3778.82573733733,0.000928431535906373,-0.809155467569972,""
"52","2021-03-17_RA01_R4",-16.5342782301956,7.00431436221011,0.0188363273813847,1.55958513008215,-1610.58997702298,-1610.51567361741,0.0204919909059008,-0.129833373691912,""
"53","2021-03-17_RA01_R5",-3.69370463500755,0.295243343790449,8.43970007788127e-30,1.55177476269488,-3889.43568650901,-3889.36468059185,0.000816007194293121,-0.561454517577319,""
"54","2021-03-18_BR01_A1",3.34490498300001,0.153245263262694,1.57109631128109e-65,1.54495121764115,-3661.33121476467,-3661.25644840953,0.000860583314155111,0.771983802411026,""
"55","2021-03-18_BR01_B1",4.40702372799609,0.258566629741698,1.17855754808645e-47,1.55027991051681,-3512.69484635598,-3512.62467091738,0.00150214811823823,0.676639226778538,""
"56","2021-03-18_BR01_C1",4.28553314432156,0.259581804544542,5.07857855493863e-43,1.5528572011001,-2995.47184804768,-2995.38393595977,0.0010774754189921,0.705529174815754,""
"57","2021-03-18_BR01_D1",3.42163731591343,0.147100942052974,3.28285594870042e-72,1.55596410606533,-3856.76141648178,-3856.69019986456,0.000841882255185264,0.784088270839313,""
"58","2021-03-18_BR01_E1",-0.049073129521706,0.0949229415595793,0.605512239143535,1.55750063093373,-4107.62967492237,-4107.5576028503,0.000542528219185197,-0.0282342977194652,""
"59","2021-03-18_BR01_F1",3.36769914372944,0.0906453627919844,2.64208001362301e-120,1.55775833319167,-4104.12166725805,-4104.04893998533,0.000516305316632721,0.897835968948727,""
"60","2021-03-18_BR01_R1",0.27557699254181,0.16991990281555,0.105794287011006,1.54683557132039,-3849.13617046508,-3849.06344319235,0.000756281079194203,0.0886576273975604,""
"61","2021-03-18_BR01_R2",15.8093951849563,6.53653705186537,0.016142549854221,1.53748260168118,-1256.47689342882,-1256.40070295263,0.0335540476697788,0.134606899657891,""
"62","2021-03-18_BR01_R3",46.3271130777777,25.7793816704624,0.0732030131129527,1.53584138739127,-742.302156851116,-742.231981412519,0.0822985761068377,0.096439395451353,""
"63","2021-03-18_BR01_R4",-1.26248224673118,0.14905065617389,7.48757559453162e-16,1.55465112922385,-4058.08550764899,-4058.01450173183,0.000637694357748195,-0.417424554886147,""
"64","2021-03-18_BR01_R5",3.7216132671694,0.161799409290255,2.41854054917157e-71,1.55657738411933,-4051.71975513603,-4051.64895867585,0.000654880407415946,0.77979165946583,""
"65","2021-03-18_BR01_R6",-1.14059696931438,0.152378032112174,6.14215192243602e-13,1.55837077201759,-4064.45820343046,-4064.38740697028,0.000642832034346433,-0.375662855667364,""
"66","2021-03-18_BR02_A1",-5.13315651454476,0.329094336942945,1.00397453774664e-41,1.57090863954981,-3301.76330368317,-3301.69208706596,0.00189964135927537,-0.646388482095351,""
"67","2021-03-18_BR02_B1",0.442833542841168,0.249370425093132,0.0766835422913388,1.56524912304775,-3415.93497057911,-3415.86202225084,0.00142445360729516,0.0971454724537836,""
